TERM,SNOMED_ID,MEDIAN_DIAGNOSIS_AGE,MEDIAN_SNOMED_AGE,N_PATIENT_COUNT,N_PATIENT_COUNT_TOTAL,PREVALENCE,TOTAL_EVENT_COUNT,AVG_EVENTS_PER_PATIENT,AVG_VALUE,MEDIAN_VALUE,STD_VALUE,FREQ_VALUE
Medication review with patient,88551000000109,72.000,72.000,1307,6480,0.201698,1605,1.23,NaN,NaN,NaN,NaN
Urine creatinine level,1003271000000106,76.000,75.000,1305,6480,0.201389,1742,1.33,NaN,7.28,NaN,4.6
Urine albumin:creatinine ratio,1023491000000104,76.000,75.000,1291,6480,0.199228,1741,1.35,NaN,5.4,NaN,3
Informed consent for procedure,182771004,77.000,76.000,1277,6480,0.197068,2537,1.99,NaN,NaN,NaN,NaN
O/E - pulse rhythm regular,162999005,74.000,74.000,1261,6480,0.194599,1568,1.24,NaN,NaN,NaN,NaN
Administrative procedure,14734007,72.000,71.000,1208,6480,0.18642,2681,2.22,NaN,NaN,NaN,NaN
Serum vitamin B12 level,993391000000108,76.000,75.000,1184,6480,0.182716,1461,1.23,NaN,320,NaN,242
Letter sent to patient,2051000000104,75.000,74.000,1163,6480,0.179475,1811,1.56,NaN,NaN,NaN,NaN
Never smoked tobacco,266919005,73.000,73.000,1140,6480,0.175926,1451,1.27,NaN,NaN,NaN,NaN
Bowel cancer screening programme: faecal occult blood result,368481000000103,69.000,68.000,1107,6480,0.170833,1129,1.02,NaN,NaN,NaN,NaN
Did not attend - no reason,919191000006101,73.000,73.000,1101,6480,0.169907,1632,1.48,NaN,NaN,NaN,NaN
Serum adjusted calcium concentration,935051000000108,76.000,76.000,1065,6480,0.164352,1370,1.29,2.389918879,2.38,0.1108041425,2.37
eGFR (estimated glomerular filtration rate) using creatinine Chronic Kidney Disease Epidemiology Collaboration equation per 1.73 square metres,1011481000000105,76.000,76.000,1042,6480,0.160802,1981,1.9,NaN,69,NaN,90
Cancer safety netting,1239431000000107,76.000,75.000,1034,6480,0.159568,1221,1.18,NaN,NaN,NaN,NaN
Serum folate level,993411000000108,76.000,76.000,1032,6480,0.159259,1230,1.19,NaN,6.8,NaN,20
Serum CRP (C reactive protein) level,1001371000000100,75.000,75.000,1028,6480,0.158642,1479,1.44,NaN,4,NaN,1
Discharge summary,373942005,75.000,75.000,1006,6480,0.155247,1705,1.69,NaN,NaN,NaN,NaN
Serum free T4 level,1016971000000106,73.000,73.000,959,6480,0.147994,1243,1.3,NaN,13.9,NaN,14
Urine glucose test negative,167261002,72.000,72.000,957,6480,0.147685,1345,1.41,NaN,NaN,NaN,NaN
Large unstained cells,993551000000106,73.000,73.000,944,6480,0.145679,1658,1.76,0.1499274047,0.13,0.1051989677,0.1
Urine microscopy: red cells,1038641000000104,72.000,71.000,942,6480,0.14537,1704,1.81,NaN,90.5,NaN,100
Serum inorganic phosphate level,1000701000000101,74.000,74.000,931,6480,0.143673,1161,1.25,1.065588492,1.07,0.1954153356,1.1
Smoking cessation advice,225323000,68.000,67.000,931,6480,0.143673,1243,1.34,NaN,NaN,NaN,NaN
Sample microscopy: red cells,999131000000106,74.000,74.000,891,6480,0.1375,1704,1.91,NaN,100,NaN,0
Sample microscopy: leucocytes,999291000000102,74.000,74.000,889,6480,0.137191,1705,1.92,NaN,98,NaN,0
Alcoholic beverage intake,897148007,72.000,72.000,880,6480,0.135802,1015,1.15,8.196314741,2,13.450123379,0
2 week rule referral - urology,831281000006109,73.000,73.000,870,6480,0.134259,924,1.06,NaN,NaN,NaN,NaN
Urine dipstick test,1007881000000101,74.000,73.000,854,6480,0.13179,1219,1.43,NaN,NaN,NaN,NaN
Suspected UTI (urinary tract infection),314940005,74.000,73.000,849,6480,0.131019,1449,1.71,NaN,NaN,NaN,NaN
Mean platelet volume,993481000000101,74.000,74.000,844,6480,0.130247,1397,1.66,10.301217765,10.4,1.348905817,10.8
Urine nitrite negative,314138001,73.000,72.000,840,6480,0.12963,1124,1.34,NaN,NaN,NaN,NaN
Bowel cancer screening programme faecal occult blood test normal,375211000000108,69.000,69.000,826,6480,0.127469,837,1.01,NaN,NaN,NaN,NaN
Tympanic temperature,415974002,76.000,76.000,799,6480,0.123302,1182,1.48,37.063367174,36.6,10.019321038,36.8
Protocol entry,394837003,77.000,77.000,798,6480,0.123148,2051,2.57,NaN,NaN,NaN,NaN
Renal profile,1000751000000100,75.000,74.000,792,6480,0.122222,1351,1.71,NaN,NaN,NaN,NaN
Essential hypertension,59621000,72.000,72.000,785,6480,0.121142,1475,1.88,NaN,NaN,NaN,NaN
Urine microscopy: pus cells,1041881000000101,71.000,71.000,779,6480,0.120216,1384,1.78,NaN,60.3,NaN,10
Urine blood test = +++,167302009,74.000,73.000,773,6480,0.11929,969,1.25,NaN,NaN,NaN,NaN
Ideal body weight,170804003,70.000,70.000,769,6480,0.118673,946,1.23,67.144157505,67.5,7.86648617,70.4
Admin. reminder,1875551000006100,77.000,76.000,766,6480,0.11821,1286,1.68,NaN,NaN,NaN,NaN
Urine ketone test negative,167287002,73.000,73.000,759,6480,0.11713,1078,1.42,NaN,NaN,NaN,NaN
Nucleated red blood cell count,1022461000000100,76.000,76.000,755,6480,0.116512,1257,1.66,NaN,0,NaN,0
Referral for further care,183444007,73.000,73.000,754,6480,0.116358,1166,1.55,NaN,NaN,NaN,NaN
Plasma glucose level,1010671000000102,70.000,70.000,751,6480,0.115895,910,1.21,NaN,5.5,NaN,4.9
Thyroid function test,1016851000000107,72.000,71.000,749,6480,0.115586,965,1.29,NaN,NaN,NaN,NaN
Bone profile,1006761000000104,74.000,74.000,747,6480,0.115278,954,1.28,NaN,NaN,NaN,NaN
O/E - Left diabetic foot at low risk,394675000,74.000,73.000,740,6480,0.114198,828,1.12,NaN,NaN,NaN,NaN
O/E - Right diabetic foot at low risk,394671009,74.000,73.000,740,6480,0.114198,829,1.12,NaN,NaN,NaN,NaN
Urine protein test negative,167273002,73.000,72.000,730,6480,0.112654,950,1.3,NaN,NaN,NaN,NaN
Blood in urine,34436003,75.000,75.000,726,6480,0.112037,1199,1.65,NaN,NaN,NaN,NaN
Percentage basophils,1015501000000103,75.000,74.000,713,6480,0.110031,1157,1.62,0.6615484429,0.6,0.424865783,1
Laboratory test observable,364712009,70.000,70.000,707,6480,0.109105,2559,3.62,NaN,NaN,NaN,NaN
Urine microalbumin level,1010251000000109,75.000,75.000,705,6480,0.108796,901,1.28,NaN,34.05,NaN,7
Percentage neutrophils,1015471000000105,75.000,74.000,689,6480,0.106327,1110,1.61,59.215945946,59.3,9.58632121,58
Percentage eosinophils,1015561000000104,75.000,74.000,688,6480,0.106173,1108,1.61,3.046750903,2.6,2.087295052,2
Percentage lymphocytes,1015481000000107,75.000,74.000,688,6480,0.106173,1109,1.61,28.5748422,28,8.979667571,21
Percentage monocytes,1015491000000109,75.000,74.000,688,6480,0.106173,1108,1.61,8.592870036,8.3,2.395255336,8
Haematuria,34436003,69.000,69.000,674,6480,0.104012,973,1.44,NaN,NaN,NaN,NaN
Type 2 diabetes mellitus,44054006,74.000,73.000,668,6480,0.103086,1708,2.56,NaN,NaN,NaN,NaN
Pharmacy service,310080006,79.000,78.000,665,6480,0.102623,858,1.29,NaN,NaN,NaN,NaN
Epithelial cell count,992871000000105,71.000,71.000,653,6480,0.100772,1129,1.73,NaN,12,NaN,NaN
Erythrocyte sedimentation rate,1022511000000103,72.000,71.500,652,6480,0.100617,860,1.32,NaN,11,NaN,2
Diabetic annual review,170777000,74.000,74.000,625,6480,0.096451,725,1.16,NaN,NaN,NaN,NaN
Failed encounter - message left on answer machine,185340004,73.000,72.000,623,6480,0.096142,892,1.43,NaN,NaN,NaN,NaN
Urine albumin level,1003301000000109,76.000,75.000,605,6480,0.093364,843,1.39,NaN,33.2,NaN,3
Medication review done,314530002,72.000,72.000,599,6480,0.092438,815,1.36,NaN,NaN,NaN,NaN
PSA (prostate-specific antigen) level,1030791000000100,71.000,71.000,590,6480,0.091049,747,1.27,NaN,1.875,NaN,0.7
QRISK2 cardiovascular disease 10 year risk score,718087004,69.000,69.000,580,6480,0.089506,725,1.25,NaN,21.395,NaN,26.7
Frank haematuria,197941005,74.000,73.000,580,6480,0.089506,762,1.31,NaN,NaN,NaN,NaN
10g monofilament sensation L foot normal,394670005,74.000,73.000,568,6480,0.087654,635,1.12,NaN,NaN,NaN,NaN
Diabetic retinopathy screening,134395001,74.000,73.000,567,6480,0.0875,628,1.11,NaN,NaN,NaN,NaN
Referred to urologist,183552008,67.000,67.000,565,6480,0.087191,634,1.12,NaN,NaN,NaN,NaN
10g monofilament sensation R foot normal,394669009,74.000,73.000,559,6480,0.086265,629,1.13,NaN,NaN,NaN,NaN
Informing patient of named accountable general practitioner,908481000000105,73.000,72.000,553,6480,0.08534,630,1.14,NaN,NaN,NaN,NaN
Frailty Index score,713636003,77.000,77.000,549,6480,0.084722,1031,1.88,0.2036829746,0.194,0.1586877606,0.25
Peripheral oxygen saturation,431314004,77.000,77.000,546,6480,0.084259,737,1.35,NaN,97,NaN,98
Alcohol consumption,160573003,71.000,71.000,543,6480,0.083796,631,1.16,7.734824281,2,12.113066058,0
Dietary advice,11816003,73.000,72.000,542,6480,0.083642,640,1.18,NaN,NaN,NaN,NaN
Serum GGT (gamma-glutamyl transferase) level,1000861000000106,71.000,71.000,534,6480,0.082407,694,1.3,75.241860465,33,178.92084317,22
AUDIT-C (Alcohol Use Disorders Identification Test - Consumption) score,763256006,72.000,72.000,534,6480,0.082407,590,1.1,NaN,2,NaN,0
eConsultation via online application,1068881000000101,76.000,75.000,518,6480,0.079938,1691,3.26,NaN,NaN,NaN,NaN
Urine leucocyte test = negative,394717006,73.000,73.000,513,6480,0.079167,631,1.23,NaN,NaN,NaN,NaN
Failed encounter,185324002,74.000,74.000,513,6480,0.079167,728,1.42,NaN,NaN,NaN,NaN
Patient allocated named accountable general practitioner,965831000000103,70.000,69.000,512,6480,0.079012,620,1.21,NaN,NaN,NaN,NaN
Patient advised about exercise,183073003,72.000,72.000,510,6480,0.078704,598,1.17,NaN,NaN,NaN,NaN
Hypertension annual review,401118009,76.000,76.000,507,6480,0.078241,542,1.07,NaN,NaN,NaN,NaN
ALT/SGPT serum level,1018251000000107,67.000,67.000,506,6480,0.078086,717,1.42,28.327731092,22,25.009151507,18
Seen in ophthalmology clinic,185222001,79.000,78.000,497,6480,0.076698,1055,2.12,NaN,NaN,NaN,NaN
Enjoys light exercise,160631001,75.000,74.000,491,6480,0.075772,567,1.15,NaN,NaN,NaN,NaN
Template entry,25721000000107,76.000,75.000,484,6480,0.074691,837,1.73,NaN,NaN,NaN,NaN
Patient review,763288003,72.000,71.000,471,6480,0.072685,862,1.83,NaN,NaN,NaN,NaN
Letter encounter,308720009,73.000,73.000,470,6480,0.072531,1015,2.16,NaN,NaN,NaN,NaN
Seen in hospital casualty,185210004,74.000,74.000,467,6480,0.072068,743,1.59,NaN,NaN,NaN,NaN
Seen in accident and emergency department,185210004,76.000,75.000,462,6480,0.071296,705,1.53,NaN,NaN,NaN,NaN
Cigarette smoker,65568007,65.000,65.000,452,6480,0.069753,602,1.33,NaN,10,NaN,10
"Urinary microscopy, culture and sensitivities",995581000000104,71.000,71.000,442,6480,0.06821,754,1.71,NaN,NaN,NaN,NaN
Administration note,37351000000107,75.000,75.000,442,6480,0.06821,747,1.69,NaN,NaN,NaN,NaN
Preferred method of contact: unknown,1990681000006100,72.000,71.000,441,6480,0.068056,448,1.02,NaN,NaN,NaN,NaN
Choice and booking enhanced services administration,222711000000102,71.000,70.000,440,6480,0.067901,601,1.37,NaN,NaN,NaN,NaN
Blood in urine - haematuria,53298000,71.000,70.000,440,6480,0.067901,655,1.49,NaN,NaN,NaN,NaN
MSU sent to lab.,167223000,74.000,73.000,435,6480,0.06713,559,1.29,NaN,NaN,NaN,NaN
TURBT - Transurethral resection of bladder tumour,386792000,71.000,71.000,428,6480,0.066049,535,1.25,NaN,NaN,NaN,NaN
Letter from consultant,275693003,75.000,74.000,426,6480,0.065741,742,1.74,NaN,NaN,NaN,NaN
International normalised ratio,165581004,76.000,76.000,420,6480,0.064815,1963,4.67,NaN,2.3,NaN,2.4
Depression screening using questions,200971000000100,71.000,71.000,419,6480,0.06466,498,1.19,NaN,NaN,NaN,NaN
Smoking cessation education,225323000,67.000,67.000,418,6480,0.064506,569,1.36,NaN,NaN,NaN,NaN
Discharge summary report,25581000000101,74.000,74.000,411,6480,0.063426,707,1.72,NaN,NaN,NaN,NaN
Has authorisation for medication under PSD (patient specific direction),822701000000109,77.000,76.000,408,6480,0.062963,487,1.19,NaN,NaN,NaN,NaN
Serum electrolytes level,1000641000000106,73.000,72.000,405,6480,0.0625,683,1.69,NaN,NaN,NaN,NaN
Lifestyle education,313204009,73.000,72.000,404,6480,0.062346,465,1.15,NaN,NaN,NaN,NaN
Respiratory rate,86290005,76.000,75.000,400,6480,0.061728,542,1.36,17.443622921,17,3.394857358,16
Plasma C reactive protein,999651000000107,72.000,71.000,396,6480,0.061111,508,1.28,NaN,4,NaN,1
Medication review of medical notes,93311000000106,75.000,75.000,395,6480,0.060957,471,1.19,NaN,NaN,NaN,NaN
Flexible cystoscopy,301301002,76.000,76.000,392,6480,0.060494,414,1.06,NaN,NaN,NaN,NaN
Alcohol units consumed per week,1082641000000106,76.000,75.000,390,6480,0.060185,432,1.11,NaN,2,NaN,0
Drug compliance good,182884001,76.000,76.000,390,6480,0.060185,478,1.23,NaN,NaN,NaN,NaN
Result,394617004,71.000,71.000,389,6480,0.060031,560,1.44,NaN,NaN,NaN,NaN
Blood pressure recorded by patient at home,413153004,76.000,75.000,378,6480,0.058333,540,1.43,NaN,NaN,NaN,NaN
Letter from specialist,270425006,74.000,73.000,377,6480,0.058179,754,2,NaN,NaN,NaN,NaN
Discharged from hospital,183665006,76.000,75.000,376,6480,0.058025,565,1.5,NaN,NaN,NaN,NaN
Scanned document,24761000000103,69.000,69.000,372,6480,0.057407,1447,3.89,NaN,NaN,NaN,NaN
Telephone call to a patient,24671000000101,74.000,74.000,365,6480,0.056327,609,1.67,NaN,NaN,NaN,NaN
Plasma fasting glucose level,1003141000000105,70.000,69.000,357,6480,0.055093,423,1.18,NaN,5.5,NaN,5.4
No response to bowel cancer screening programme invitation,373251000000108,67.000,67.000,355,6480,0.054784,366,1.03,NaN,NaN,NaN,NaN
Total cholesterol:HDL (high density lipoprotein) ratio,1028551000000102,69.000,69.000,353,6480,0.054475,432,1.22,NaN,3.64,NaN,3.9
Corrected serum calcium level,935051000000108,69.000,68.000,353,6480,0.054475,428,1.21,2.390167464,2.37,0.1373637391,2.37
Prothrombin time,852471000000107,73.000,73.000,351,6480,0.054167,426,1.21,NaN,12,NaN,10.3
Chronic obstructive pulmonary disease annual review,394703002,76.000,75.000,347,6480,0.053549,415,1.2,NaN,NaN,NaN,NaN
Education about alcohol consumption,281078001,72.000,72.000,347,6480,0.053549,393,1.13,NaN,NaN,NaN,NaN
Urine blood test = negative,167297006,72.000,71.000,339,6480,0.052315,415,1.22,NaN,NaN,NaN,NaN
Urine sample sent to Lab,165339009,74.000,74.000,338,6480,0.05216,474,1.4,NaN,NaN,NaN,NaN
On examination - right dorsalis pedis pulse present,163108001,72.000,72.000,335,6480,0.051698,372,1.11,NaN,NaN,NaN,NaN
On examination - left dorsalis pedis pulse present,163120009,73.000,72.000,331,6480,0.05108,364,1.1,NaN,NaN,NaN,NaN
Serum total cholesterol level,994351000000103,73.000,73.000,330,6480,0.050926,417,1.26,4.592025316,4.5,1.199781473,4.4
Letter received,198291000000105,76.000,75.000,326,6480,0.050309,861,2.64,NaN,NaN,NaN,NaN
Clinical letter,823691000000103,75.000,75.000,325,6480,0.050154,899,2.77,NaN,NaN,NaN,NaN
Consent given for blood test,907131000000101,77.000,76.000,323,6480,0.049846,590,1.83,NaN,NaN,NaN,NaN
Urinary symptoms,249274008,73.000,72.000,322,6480,0.049691,593,1.84,NaN,NaN,NaN,NaN
Average home systolic blood pressure,413606001,75.000,74.000,321,6480,0.049537,440,1.37,142.029472477,138,70.599675666,133
Main spoken language English,315570003,70.000,70.000,319,6480,0.049228,365,1.14,NaN,NaN,NaN,NaN
Haemoglobin A1c level,1003671000000109,75.000,74.000,318,6480,0.049074,461,1.45,NaN,6.2,NaN,5.8
Average home diastolic blood pressure,413605002,75.000,74.000,317,6480,0.04892,436,1.38,78.581812933,78,9.645377647,75
Serum aspartate aminotransferase level,1000881000000102,71.500,71.000,313,6480,0.048302,440,1.41,29.316513761,24,34.228586597,24
Seen by practice phlebotomist,185305000,77.000,76.000,310,6480,0.04784,601,1.94,NaN,NaN,NaN,NaN
Estimated creatinine clearance (Cockcroft-Gault formula),968191000000100,81.000,81.000,309,6480,0.047685,495,1.6,62.528177778,57.8,29.397701467,24.72
Current smoker,77176002,66.000,65.000,304,6480,0.046914,390,1.28,NaN,12,NaN,10
Seen in orthopaedic clinic,185252009,75.000,74.000,302,6480,0.046605,570,1.89,NaN,NaN,NaN,NaN
On examination - right posterior tibial pulse present,163106002,72.000,72.000,300,6480,0.046296,331,1.1,NaN,NaN,NaN,NaN
Seen in fast track suspected urological cancer clinic,382841000000109,76.000,76.000,300,6480,0.046296,312,1.04,NaN,NaN,NaN,NaN
Standard chest X-ray,168731009,74.000,73.000,300,6480,0.046296,338,1.13,NaN,NaN,NaN,NaN
On examination - left posterior tibial pulse present,163118006,72.000,72.000,298,6480,0.045988,330,1.11,NaN,NaN,NaN,NaN
Quantitative faecal immunochemical test,1049361000000101,78.000,77.000,298,6480,0.045988,329,1.1,NaN,6,NaN,2
MSU sent for C/S,168336001,72.000,72.000,295,6480,0.045525,402,1.36,NaN,NaN,NaN,NaN
Diet health education,11816003,72.000,72.000,293,6480,0.045216,327,1.12,NaN,NaN,NaN,NaN
Activated partial thromboplastin time,852511000000103,73.000,73.000,291,6480,0.044907,313,1.08,NaN,30.7,NaN,28
Telephone triage encounter,401267002,73.000,73.000,289,6480,0.044599,590,2.04,NaN,NaN,NaN,NaN
Differential white cell count,1015421000000106,73.000,72.000,288,6480,0.044444,468,1.63,NaN,NaN,NaN,NaN
Urinalysis = no abnormality,167221003,73.000,72.000,288,6480,0.044444,330,1.15,NaN,NaN,NaN,NaN
Transfer-degraded record entry,196411000000103,74.000,74.000,286,6480,0.044136,1502,5.25,NaN,NaN,NaN,NaN
Haemoglobin saturation with oxygen,103228002,74.000,74.000,284,6480,0.043827,401,1.41,96.906091371,97,1.931080582,98
Diabetic on oral treatment,170746002,74.000,73.000,282,6480,0.043519,345,1.22,NaN,NaN,NaN,NaN
Glomerular filtration rate,80274001,70.000,70.000,281,6480,0.043364,446,1.59,NaN,76,NaN,90
Waist circumference,276361009,70.000,70.000,280,6480,0.04321,308,1.1,99.37049505,99,17.211033946,102
Health education - exercise,304507003,73.000,72.000,278,6480,0.042901,310,1.12,NaN,NaN,NaN,NaN
Urine blood test = ++,167301002,73.500,73.000,278,6480,0.042901,342,1.23,NaN,NaN,NaN,NaN
Patient understands why taking all medication,408363009,76.000,75.000,275,6480,0.042438,302,1.1,NaN,NaN,NaN,NaN
Copy of letter from specialist to patient,440168007,76.000,75.500,273,6480,0.04213,454,1.66,NaN,NaN,NaN,NaN
Asthma annual review,394700004,72.000,72.000,272,6480,0.041975,306,1.13,NaN,NaN,NaN,NaN
Cough,49727002,74.000,73.000,267,6480,0.041204,357,1.34,NaN,NaN,NaN,NaN
Exercise education,304507003,73.000,73.000,263,6480,0.040586,293,1.11,NaN,NaN,NaN,NaN
Serum chloride level,1000671000000100,74.000,74.000,263,6480,0.040586,448,1.7,102.885135135,103,3.351877575,103
Letter sent to consultant,2041000000102,76.000,76.000,263,6480,0.040586,340,1.29,NaN,NaN,NaN,NaN
Number of chronic obstructive pulmonary disease exacerbations in past year,723245007,77.000,77.000,263,6480,0.040586,315,1.2,0.7915309446,0,1.266277005,0
IgA,997031000000102,76.000,76.000,262,6480,0.040432,295,1.13,2.619059233,2.35,1.431834178,2
Urine protein test = +,167275009,72.000,72.000,261,6480,0.040278,299,1.15,NaN,NaN,NaN,NaN
Blood test requested,413672003,74.000,73.000,259,6480,0.039969,370,1.43,NaN,NaN,NaN,NaN
Hypertension monitoring first letter,185719002,77.000,76.000,256,6480,0.039506,281,1.1,NaN,NaN,NaN,NaN
Inhaler technique - good,170625000,73.000,72.000,256,6480,0.039506,293,1.14,NaN,NaN,NaN,NaN
Urine blood test = +,167300001,72.000,71.000,255,6480,0.039352,295,1.16,NaN,NaN,NaN,NaN
