TERM,SNOMED_ID,MEDIAN_SNOMED_AGE,N_PATIENT_COUNT,N_PATIENT_COUNT_TOTAL,PREVALENCE,TOTAL_EVENT_COUNT,AVG_EVENTS_PER_PATIENT,AVG_VALUE,MEDIAN_VALUE,STD_VALUE,FREQ_VALUE
Never smoked tobacco,266919005,69.000,69658,277829,0.250723,92503,1.33,NaN,NaN,NaN,NaN
Serum non high density lipoprotein cholesterol level,1006191000000106,69.000,67425,277829,0.242685,85106,1.26,NaN,3.1,NaN,2.7
Medication review with patient,88551000000109,69.000,56867,277829,0.204683,72004,1.27,NaN,NaN,NaN,NaN
Serum bilirubin level,999691000000104,69.000,54546,277829,0.196329,83799,1.54,NaN,9,NaN,8
Serum total protein,1000811000000109,69.000,52329,277829,0.18835,75439,1.44,NaN,70,NaN,70
Referral letter,25611000000107,69.000,52144,277829,0.187684,84245,1.62,NaN,NaN,NaN,NaN
Clinical document,1712901000006107,69.000,49322,277829,0.177526,245695,4.98,NaN,NaN,NaN,NaN
Serum calcium level,1000691000000101,69.000,48954,277829,0.176202,60507,1.24,NaN,2.37,NaN,2.37
O/E - pulse rhythm regular,162999005,69.000,46300,277829,0.166649,57034,1.23,NaN,NaN,NaN,NaN
Weight monitoring,307818003,69.000,44530,277829,0.160278,61497,1.38,NaN,NaN,NaN,NaN
Serum globulin level,1001231000000108,69.000,43374,277829,0.156118,63034,1.45,NaN,28,NaN,28
Urine creatinine level,1003271000000106,69.000,43135,277829,0.155257,52040,1.21,NaN,6.9,NaN,5
Urine albumin:creatinine ratio,1023491000000104,69.000,43021,277829,0.154847,52237,1.21,NaN,1.78,NaN,3
Ex-smoker,8517006,69.000,42269,277829,0.15214,57175,1.35,NaN,30,NaN,NaN
Informed consent for procedure,182771004,69.000,39828,277829,0.143354,71027,1.78,NaN,NaN,NaN,NaN
Administrative procedure,14734007,69.000,39160,277829,0.14095,76439,1.95,NaN,NaN,NaN,NaN
Serum ferritin level,993381000000106,69.000,38860,277829,0.13987,49178,1.27,NaN,71,NaN,17
Serum free T4 level,1016971000000106,69.000,37849,277829,0.136231,48941,1.29,NaN,14,NaN,13
Mean platelet volume,993481000000101,69.000,37384,277829,0.134558,54888,1.47,NaN,10.5,NaN,10.6
Serum vitamin B12 level,993391000000108,69.000,37283,277829,0.134194,44946,1.21,NaN,338,NaN,NaN
Template entry - EHR composition type,25721000000107,69.000,36079,277829,0.12986,84036,2.33,NaN,NaN,NaN,NaN
Bowel cancer screening programme: faecal occult blood result,368481000000103,69.000,34662,277829,0.12476,35479,1.02,NaN,NaN,NaN,NaN
Did not attend - no reason,919191000006101,69.000,34518,277829,0.124242,47475,1.38,NaN,NaN,NaN,NaN
Renal profile,1000751000000100,69.000,34497,277829,0.124166,53013,1.54,NaN,NaN,NaN,NaN
Letter sent to patient,2051000000104,69.000,33945,277829,0.122179,49200,1.45,NaN,NaN,NaN,NaN
Essential hypertension,59621000,69.000,33271,277829,0.119754,71188,2.14,NaN,NaN,NaN,NaN
QRISK2 cardiovascular disease 10 year risk score,718087004,69.000,31853,277829,0.11465,39708,1.25,NaN,18.2,NaN,12
Ideal body weight,170804003,69.000,31661,277829,0.113959,40343,1.27,63.496427326,62.6,40.796850616,58.9
Alcoholic beverage intake,897148007,69.000,31239,277829,0.11244,37011,1.18,NaN,2,NaN,0
Serum folate level,993411000000108,69.000,30080,277829,0.108268,35319,1.17,NaN,7.8,NaN,20
Thyroid function test,1016851000000107,69.000,29868,277829,0.107505,37584,1.26,NaN,NaN,NaN,NaN
Percentage basophils,1015501000000103,69.000,29864,277829,0.107491,44183,1.48,0.6573012272,0.6,0.3970700741,1
Percentage monocytes,1015491000000109,69.000,29365,277829,0.105695,43416,1.48,8.283422741,8,2.251050071,8
Percentage neutrophils,1015471000000105,69.000,29364,277829,0.105691,43412,1.48,56.257457467,56.5,9.69132468,56
Percentage lymphocytes,1015481000000107,69.000,29356,277829,0.105662,43403,1.48,31.664734934,31.2,8.961055791,30
Percentage eosinophils,1015561000000104,69.000,29354,277829,0.105655,43401,1.48,3.15212793,2.6,2.332847568,2
O/E - Right diabetic foot at low risk,394671009,69.000,29020,277829,0.104453,32701,1.13,NaN,NaN,NaN,NaN
O/E - Left diabetic foot at low risk,394675000,69.000,28982,277829,0.104316,32681,1.13,NaN,NaN,NaN,NaN
eGFR (estimated glomerular filtration rate) using creatinine Chronic Kidney Disease Epidemiology Collaboration equation per 1.73 square metres,1011481000000105,69.000,28255,277829,0.101699,45790,1.62,NaN,79,NaN,90
Serum inorganic phosphate level,1000701000000101,69.000,28161,277829,0.101361,34255,1.22,NaN,1.1,NaN,1.1
Serum adjusted calcium concentration,935051000000108,69.000,28111,277829,0.101181,34578,1.23,NaN,2.39,NaN,2.37
Large unstained cells,993551000000106,69.000,27963,277829,0.100648,45107,1.61,NaN,0.13,NaN,0.1
Plasma glucose level,1010671000000102,69.000,27547,277829,0.099151,32420,1.18,NaN,5.4,NaN,5
Medication review done,314530002,69.000,25506,277829,0.091805,34384,1.35,NaN,NaN,NaN,NaN
Laboratory test observable,364712009,69.000,25469,277829,0.091671,66362,2.61,NaN,NaN,NaN,NaN
Smoking cessation advice,225323000,69.000,25359,277829,0.091276,32285,1.27,NaN,NaN,NaN,NaN
Erythrocyte sedimentation rate,1022511000000103,69.000,24317,277829,0.087525,37301,1.53,NaN,12,NaN,2
ALT/SGPT serum level,1018251000000107,69.000,24257,277829,0.087309,34327,1.42,NaN,22,NaN,20
Alcohol consumption,160573003,69.000,24199,277829,0.0871,28355,1.17,NaN,0.5,NaN,0
Dietary advice,11816003,69.000,23857,277829,0.085869,29210,1.22,NaN,NaN,NaN,NaN
Urine microalbumin level,1010251000000109,69.000,23526,277829,0.084678,27680,1.18,NaN,7,NaN,7
Bowel cancer screening programme faecal occult blood test normal,375211000000108,69.000,23421,277829,0.0843,23843,1.02,NaN,NaN,NaN,NaN
10g monofilament sensation L foot normal,394670005,69.000,23033,277829,0.082904,25363,1.1,NaN,NaN,NaN,NaN
10g monofilament sensation R foot normal,394669009,69.000,22915,277829,0.082479,25218,1.1,NaN,NaN,NaN,NaN
Type 2 diabetes mellitus,44054006,69.000,22515,277829,0.081039,55255,2.45,NaN,NaN,NaN,NaN
Patient advised about exercise,183073003,69.000,22484,277829,0.080927,27074,1.2,NaN,NaN,NaN,NaN
Informing patient of named accountable general practitioner,908481000000105,69.000,22222,277829,0.079984,24397,1.1,NaN,NaN,NaN,NaN
Frailty Index score,713636003,69.000,21942,277829,0.078977,35079,1.6,NaN,0.139,NaN,0.083
Patient allocated named accountable general practitioner,965831000000103,69.000,21928,277829,0.078926,24675,1.13,NaN,NaN,NaN,NaN
Bone profile,1006761000000104,69.000,21601,277829,0.077749,25931,1.2,NaN,NaN,NaN,NaN
Serum CRP (C reactive protein) level,1001371000000100,69.000,21426,277829,0.077119,34392,1.61,NaN,3.6,NaN,1
Diabetic annual review,170777000,69.000,21390,277829,0.07699,24981,1.17,NaN,NaN,NaN,NaN
Diabetic retinopathy screening,134395001,69.000,20501,277829,0.07379,23199,1.13,NaN,NaN,NaN,NaN
AUDIT-C (Alcohol Use Disorders Identification Test - Consumption) score,763256006,69.000,20424,277829,0.073513,22589,1.11,NaN,1,NaN,0
Urine albumin level,1003301000000109,69.000,20383,277829,0.073365,25027,1.23,NaN,7,NaN,3
Serum GGT (gamma-glutamyl transferase) level,1000861000000106,69.000,20165,277829,0.072581,27123,1.35,NaN,30,NaN,20
Plasma fasting glucose level,1003141000000105,69.000,19855,277829,0.071465,23071,1.16,NaN,5.4,NaN,5
Nucleated red blood cell count,1022461000000100,69.000,19442,277829,0.069978,28529,1.47,NaN,0,NaN,0
Tympanic temperature,415974002,69.000,18696,277829,0.067293,25751,1.38,NaN,36.7,NaN,36.7
Seen in ophthalmology clinic,185222001,69.000,18185,277829,0.065454,36186,1.99,NaN,NaN,NaN,NaN
Total cholesterol:HDL (high density lipoprotein) ratio,1028551000000102,69.000,18103,277829,0.065159,22626,1.25,NaN,3.49,NaN,3
Depression screening using questions,200971000000100,69.000,17627,277829,0.063446,20733,1.18,NaN,NaN,NaN,NaN
Failed encounter - message left on answer machine,185340004,69.000,17564,277829,0.063219,24589,1.4,NaN,NaN,NaN,NaN
Enjoys light exercise,160631001,69.000,17551,277829,0.063172,19868,1.13,NaN,NaN,NaN,NaN
Pharmacy service,310080006,69.000,17393,277829,0.062603,18366,1.06,NaN,NaN,NaN,NaN
Lifestyle education,313204009,69.000,17166,277829,0.061786,19918,1.16,NaN,NaN,NaN,NaN
Mammography normal,168749009,69.000,17086,277829,0.061498,17230,1.01,NaN,NaN,NaN,NaN
Hypertension annual review,790031000006103,69.000,16567,277829,0.05963,18067,1.09,NaN,NaN,NaN,NaN
Protocol entry,394837003,69.000,16516,277829,0.059447,42177,2.55,NaN,NaN,NaN,NaN
Urine protein test negative,167273002,69.000,16397,277829,0.059018,19947,1.22,NaN,NaN,NaN,NaN
Preferred method of contact: unknown,1990681000006100,69.000,16250,277829,0.058489,16461,1.01,NaN,NaN,NaN,NaN
Failed encounter,917441000006106,69.000,15958,277829,0.057438,21705,1.36,NaN,NaN,NaN,NaN
Has authorisation for medication under PSD (patient specific direction),822701000000109,69.000,15907,277829,0.057255,18643,1.17,NaN,NaN,NaN,NaN
Referral for further care,183444007,69.000,15732,277829,0.056625,22737,1.45,NaN,NaN,NaN,NaN
Discharge summary,373942005,69.000,15730,277829,0.056618,22671,1.44,NaN,NaN,NaN,NaN
Urine culture,1023711000000100,69.000,15599,277829,0.056146,24543,1.57,NaN,NaN,NaN,NaN
Urine glucose test negative,167261002,69.000,15480,277829,0.055718,19456,1.26,NaN,NaN,NaN,NaN
No response to bowel cancer screening programme invitation,373251000000108,69.000,15090,277829,0.054314,15308,1.01,NaN,NaN,NaN,NaN
Medication review of medical notes,93311000000106,69.000,14691,277829,0.052878,17017,1.16,NaN,NaN,NaN,NaN
On examination - right dorsalis pedis pulse present,163108001,69.000,14594,277829,0.052529,16045,1.1,NaN,NaN,NaN,NaN
Serum PSA (prostate specific antigen) level,1000381000000105,69.000,14438,277829,0.051967,17420,1.21,NaN,1.74,NaN,NaN
Corrected serum calcium level,935051000000108,69.000,14395,277829,0.051812,17329,1.2,NaN,2.37,NaN,2.38
Patient review,763288003,69.000,14363,277829,0.051697,25610,1.78,NaN,NaN,NaN,NaN
On examination - left dorsalis pedis pulse present,163120009,69.000,14282,277829,0.051406,15702,1.1,NaN,NaN,NaN,NaN
Seen in orthopaedic clinic,185252009,69.000,14264,277829,0.051341,27893,1.96,NaN,NaN,NaN,NaN
Education about alcohol consumption,281078001,69.000,14185,277829,0.051057,16053,1.13,NaN,NaN,NaN,NaN
Result,394617004,69.000,13817,277829,0.049732,19221,1.39,NaN,NaN,NaN,NaN
Asthma annual review,394700004,69.000,13516,277829,0.048649,15403,1.14,NaN,NaN,NaN,NaN
Blood pressure recorded by patient at home,413153004,69.000,13450,277829,0.048411,19316,1.44,NaN,NaN,NaN,NaN
Scanned document,24761000000103,69.000,13303,277829,0.047882,39170,2.94,NaN,NaN,NaN,NaN
eConsultation via online application,1068881000000101,69.000,12986,277829,0.046741,35730,2.75,NaN,NaN,NaN,NaN
Drug compliance good,182884001,69.000,12843,277829,0.046226,15320,1.19,NaN,NaN,NaN,NaN
Serum aspartate aminotransferase level,1000881000000102,69.000,12835,277829,0.046197,17394,1.36,NaN,24,NaN,23
Peripheral oxygen saturation,431314004,69.000,12805,277829,0.04609,16477,1.29,NaN,97,NaN,98
On examination - right posterior tibial pulse present,163106002,69.000,12788,277829,0.046028,13980,1.09,NaN,NaN,NaN,NaN
On examination - left posterior tibial pulse present,163118006,69.000,12715,277829,0.045766,13905,1.09,NaN,NaN,NaN,NaN
Waist circumference,276361009,69.000,12590,277829,0.045316,13731,1.09,NaN,97,NaN,94
Plasma C reactive protein,999651000000107,69.000,12540,277829,0.045136,17477,1.39,NaN,3,NaN,1
Serum electrolytes level,1000641000000106,69.000,12489,277829,0.044952,18418,1.47,NaN,NaN,NaN,NaN
Serum total cholesterol level,994351000000103,69.000,12045,277829,0.043354,14993,1.24,NaN,4.9,NaN,4.4
Main spoken language English,315570003,69.000,11839,277829,0.042613,13034,1.1,NaN,NaN,NaN,NaN
Alcohol units consumed per week,1082641000000106,69.000,11838,277829,0.042609,13196,1.11,NaN,1,NaN,0
Glomerular filtration rate,80274001,69.000,11770,277829,0.042364,16946,1.44,NaN,79,NaN,90
Admin. reminder,1875551000006100,69.000,11636,277829,0.041882,19248,1.65,NaN,NaN,NaN,NaN
Letter encounter,308720009,69.000,11497,277829,0.041382,20468,1.78,NaN,NaN,NaN,NaN
Diabetic on oral treatment,170746002,69.000,11294,277829,0.040651,14292,1.27,NaN,NaN,NaN,NaN
Exercise education,304507003,69.000,11237,277829,0.040446,12967,1.15,NaN,NaN,NaN,NaN
Serum total 25-hydroxy vitamin D level,1007991000000105,69.000,11044,277829,0.039751,12535,1.14,NaN,58,NaN,67
Inhaler technique - good,170625000,69.000,10887,277829,0.039186,12319,1.13,NaN,NaN,NaN,NaN
Smoking cessation education,225323000,69.000,10810,277829,0.038909,13587,1.26,NaN,NaN,NaN,NaN
HbA1c level (Diabetes Control and Complications Trial aligned),1019431000000105,69.000,10716,277829,0.03857,16447,1.53,NaN,6.9,NaN,6.9
Administration note,37351000000107,69.000,10456,277829,0.037635,16791,1.61,NaN,NaN,NaN,NaN
Peak expiratory flow rate,18491006,69.000,10378,277829,0.037354,13878,1.34,NaN,314,NaN,300
Implied consent for core Summary Care Record dataset upload,773011000000101,69.000,10322,277829,0.037152,10825,1.05,NaN,NaN,NaN,NaN
Notes summary on computer,184229000,69.000,10320,277829,0.037145,10718,1.04,NaN,NaN,NaN,NaN
Urine blood test = negative,167297006,69.000,10310,277829,0.037109,12342,1.2,NaN,NaN,NaN,NaN
Breast neoplasm screening normal,171175005,69.000,10162,277829,0.036576,10241,1.01,NaN,NaN,NaN,NaN
Average home systolic blood pressure,413606001,69.000,10096,277829,0.036339,14130,1.4,NaN,136,NaN,130
Average home diastolic blood pressure,413605002,69.000,10030,277829,0.036101,14010,1.4,NaN,78,NaN,80
Urine ketone test negative,167287002,69.000,9995,277829,0.035975,12973,1.3,NaN,NaN,NaN,NaN
Standard chest X-ray,168731009,69.000,9976,277829,0.035907,11233,1.13,NaN,NaN,NaN,NaN
Cough,961781000006103,69.000,9938,277829,0.03577,13729,1.38,NaN,NaN,NaN,NaN
Diet health education,11816003,69.000,9688,277829,0.03487,10924,1.13,NaN,NaN,NaN,NaN
GPPAQ hours in last week spent cycling - none,1746291000006102,69.000,9626,277829,0.034647,10019,1.04,NaN,NaN,NaN,NaN
Template entry,25721000000107,69.000,9613,277829,0.0346,14873,1.55,NaN,NaN,NaN,NaN
Telephone call to a patient,24671000000101,69.000,9610,277829,0.03459,13502,1.4,NaN,NaN,NaN,NaN
Letter from consultant,275693003,69.000,9560,277829,0.03441,15807,1.65,NaN,NaN,NaN,NaN
Seen in hospital casualty,185210004,69.000,9535,277829,0.03432,13277,1.39,NaN,NaN,NaN,NaN
Transfer-degraded record entry,196411000000103,69.000,9534,277829,0.034316,40012,4.2,NaN,NaN,NaN,NaN
Urine microscopy,1014831000000107,69.000,9511,277829,0.034233,14992,1.58,NaN,NaN,NaN,NaN
Urine nitrite negative,314138001,69.000,9437,277829,0.033967,11813,1.25,NaN,NaN,NaN,NaN
Letter from specialist,270425006,69.000,9363,277829,0.033701,16176,1.73,NaN,NaN,NaN,NaN
Hypertension monitoring,275944005,69.000,9306,277829,0.033495,13020,1.4,NaN,NaN,NaN,NaN
Orthopaedic referral,183545006,69.000,9276,277829,0.033387,11102,1.2,NaN,NaN,NaN,NaN
Suspected UTI (urinary tract infection),314940005,69.000,9236,277829,0.033243,13533,1.47,NaN,NaN,NaN,NaN
Seen in accident and emergency department,185210004,69.000,9223,277829,0.033197,12656,1.37,NaN,NaN,NaN,NaN
QAdmissions risk of emergency hospital admission in next 12 months,878501000000100,69.000,9199,277829,0.03311,22479,2.44,7.671642758,5.54,7.037460932,3.5
Respiratory rate,86290005,69.000,9126,277829,0.032848,11852,1.3,17.078501187,16,5.95007709,16
Brief intervention for physical activity completed,375031000000109,69.000,9091,277829,0.032722,9855,1.08,NaN,NaN,NaN,NaN
Haemoglobin A1c level,1003671000000109,69.000,9090,277829,0.032718,12647,1.39,NaN,6.1,NaN,5.6
Differential white cell count,1015421000000106,69.000,9043,277829,0.032549,12816,1.42,NaN,NaN,NaN,NaN
Urine dipstick test,1007881000000101,69.000,9021,277829,0.03247,11585,1.28,NaN,NaN,NaN,NaN
GPPAQ not in employment,1746171000006105,69.000,9007,277829,0.032419,9415,1.05,NaN,NaN,NaN,NaN
Haemoglobin saturation with oxygen,103228002,69.000,8952,277829,0.032221,11821,1.32,NaN,98,NaN,98
Health education - exercise,304507003,69.000,8877,277829,0.031951,10053,1.13,NaN,NaN,NaN,NaN
Predicted peak expiratory flow rate using EN 13826 standard,178271000000100,69.000,8824,277829,0.031761,10379,1.18,421.36366702,366,80.240661853,360
Asthma,195967001,69.000,8817,277829,0.031735,15350,1.74,NaN,NaN,NaN,NaN
Chronic obstructive pulmonary disease annual review,394703002,69.000,8815,277829,0.031728,10294,1.17,NaN,NaN,NaN,NaN
Lifestyle advice regarding diet,443288003,69.000,8797,277829,0.031663,10091,1.15,NaN,NaN,NaN,NaN
QRISK cardiovascular disease 10 year risk calculator score,763244005,69.000,8740,277829,0.031458,11500,1.32,NaN,20,NaN,14
O/E - no right diabetic retinopathy,390850007,69.000,8727,277829,0.031411,8985,1.03,NaN,NaN,NaN,NaN
Patient understands why taking all medication,408363009,69.000,8692,277829,0.031285,9633,1.11,NaN,NaN,NaN,NaN
O/E - no left diabetic retinopathy,390853009,69.000,8646,277829,0.03112,8916,1.03,NaN,NaN,NaN,NaN
Consent given for blood test,907131000000101,69.000,8627,277829,0.031051,14269,1.65,NaN,NaN,NaN,NaN
Cigarette smoker,854021000006104,69.000,8532,277829,0.03071,11079,1.3,NaN,10,NaN,10
Seen by practice phlebotomist,185305000,69.000,8507,277829,0.03062,14163,1.66,NaN,NaN,NaN,NaN
O/E - left dorsalis pedis normal,414891006,69.000,8486,277829,0.030544,9186,1.08,NaN,NaN,NaN,NaN
Choice and booking enhanced services administration,222711000000102,69.000,8411,277829,0.030274,10834,1.29,NaN,NaN,NaN,NaN
Serum chloride level,1000671000000100,69.000,8297,277829,0.029864,12219,1.47,NaN,103,NaN,104
10g monofilament sensation present,390931008,69.000,8294,277829,0.029853,9046,1.09,NaN,NaN,NaN,NaN
O/E - right dorsalis pedis normal,414907000,69.000,8282,277829,0.02981,8977,1.08,NaN,NaN,NaN,NaN
Letter received,198291000000105,69.000,8259,277829,0.029727,18269,2.21,NaN,NaN,NaN,NaN
Refer to physiotherapist,308447003,69.000,8201,277829,0.029518,9823,1.2,NaN,NaN,NaN,NaN
Urine microscopy: red cells,1038641000000104,69.000,8184,277829,0.029457,12718,1.55,NaN,10,NaN,10
Agreeing on diabetes care plan,703040004,69.000,8038,277829,0.028931,10397,1.29,NaN,NaN,NaN,NaN
Blood test requested,413672003,69.000,8023,277829,0.028877,11181,1.39,NaN,NaN,NaN,NaN
Calcium profile,993131000000109,69.000,7874,277829,0.028341,9268,1.18,NaN,NaN,NaN,NaN
AUDIT-C score - frequency of drinking alcohol,1899511000006107,69.000,7863,277829,0.028302,8452,1.07,NaN,2,NaN,0
Asthma not disturbing sleep,170635006,69.000,7787,277829,0.028028,8809,1.13,NaN,NaN,NaN,NaN
Serum free triiodothyronine level,1016961000000104,69.000,7748,277829,0.027888,10241,1.32,NaN,4.6,NaN,4.3
Clinical letter,823691000000103,69.000,7728,277829,0.027816,16662,2.16,NaN,NaN,NaN,NaN
Advice given about weight management,698471002,69.000,7616,277829,0.027413,8507,1.12,NaN,NaN,NaN,NaN
PSA (prostate-specific antigen) level,1030791000000100,69.000,7519,277829,0.027063,9124,1.21,NaN,1.92,NaN,0.6
AUDIT-C score-freq drunk 6+units (fem)/8+units (male) last yr,1899531000006101,69.000,7475,277829,0.026905,8017,1.07,NaN,0,NaN,0
AUDIT-C score - units of alcohol drunk on a typical day,1899521000006104,69.000,7463,277829,0.026862,8002,1.07,NaN,0,NaN,0
O/E - right posterior tibial pulse normal,414912004,69.000,7444,277829,0.026793,8041,1.08,NaN,NaN,NaN,NaN
O/E - Left posterior tibial pulse normal,414896001,69.000,7430,277829,0.026743,8028,1.08,NaN,NaN,NaN,NaN
Asthma not limiting activities,170638008,69.000,7402,277829,0.026642,8321,1.12,NaN,NaN,NaN,NaN
General practice physical activity questionnaire physical activity index: inactive,366121000000108,69.000,7400,277829,0.026635,7816,1.06,NaN,NaN,NaN,NaN
Diabetic monitoring,170742000,69.000,7330,277829,0.026383,10706,1.46,NaN,NaN,NaN,NaN
NHS Health Check completed,523221000000100,69.000,7324,277829,0.026362,7655,1.05,NaN,NaN,NaN,NaN
Telephone triage encounter,401267002,69.000,7307,277829,0.0263,13041,1.78,NaN,NaN,NaN,NaN
Urine microscopy: pus cells,1041881000000101,69.000,7274,277829,0.026182,11161,1.53,NaN,10,NaN,10
Patient informed - test result,165355002,69.000,7222,277829,0.025994,9345,1.29,NaN,NaN,NaN,NaN
Asthma control test score,443117005,69.000,7213,277829,0.025962,9040,1.25,NaN,22,NaN,25
Forced expired volume in 1 second,59328004,69.000,7207,277829,0.02594,8412,1.17,4.671084914,1.73,48.922955827,1.6
Serum urate level,1001021000000101,69.000,7199,277829,0.025912,8450,1.17,NaN,303,NaN,0.34
Discharge summary report,25581000000101,69.000,7160,277829,0.025771,10372,1.45,NaN,NaN,NaN,NaN
Enjoys moderate exercise,160632008,69.000,7096,277829,0.025541,7711,1.09,NaN,NaN,NaN,NaN
Low back pain,279039007,69.000,7065,277829,0.025429,10117,1.43,NaN,NaN,NaN,NaN
Calculated LDL (low density lipoprotein) cholesterol level,1014501000000104,69.000,7052,277829,0.025383,8609,1.22,2.711732661,2.6,1.815808595,2.2
Hypertension monitoring first letter,185719002,69.000,7026,277829,0.025289,7736,1.1,NaN,NaN,NaN,NaN
Blood test due,165349007,69.000,6927,277829,0.024933,9175,1.32,NaN,NaN,NaN,NaN
Non-diabetic hyperglycaemia,849171000000106,69.000,6902,277829,0.024843,8893,1.29,NaN,NaN,NaN,NaN
Number of asthma exacerbations in past year,366874008,69.000,6824,277829,0.024562,8439,1.24,0.6342019935,0,13.042235293,0
Urinalysis = no abnormality,167221003,69.000,6785,277829,0.024421,7501,1.11,NaN,NaN,NaN,NaN
Administration,416118004,69.000,6771,277829,0.024371,10966,1.62,NaN,NaN,NaN,NaN
GPPAQ hours in last week spent walking - 3 hours or more,1746371000006107,69.000,6761,277829,0.024335,6979,1.03,NaN,NaN,NaN,NaN
