id,name
446660005,Chronic obstructive pulmonary disease assessment test score
492191000000103,Ex roll-up cigarette smoker
49727002,Cough
50417007,Lower respiratory tract infection
505651000000103,Current smoker annual review
505761000000105,Ex-smoker annual review
50834005,Forced vital capacity
51615001,Fibrosis of lung
527151000000107,Smoking cessation advice declined
527361000000107,CAT - COPD assessment test
54150009,Upper respiratory infection
54398005,Acute upper respiratory infection
60621009,Body mass index
65568007,Cigarette smoker
6631009,Thrombocytosis
66857006,Haemoptysis
68328006,Centrilobular emphysema
700250006,Idiopathic pulmonary fibrosis
716281000000103,Chronic obstructive pulmonary disease monitoring verbal invite
716901000000101,Chronic obstructive pulmonary disease monitoring telephone invitation
718241000000107,Issue of chronic obstructive pulmonary disease rescue pack
719873005,Fibrosis-4 index score
72313002,Systolic arterial pressure
723245007,Number of chronic obstructive pulmonary disease exacerbations in past year
726611000001102,Flixotide 50 Evohaler
736056000,Asthma clinical management plan
754061000000100,Asthma review using Royal College of Physicians three questions
767641000000109,Referral for smoking cessation service offered
77176002,Current smoker
78564009,Pulse rate
810901000000102,Asthma self-management plan review
831311000006106,2 week rule referral - lung
8517006,Ex-smoker
871641000000105,Referral to smoking cessation service declined
87433001,Pulmonary emphysema
894821000000107,Spirometry screening invitation
909721000006104,[RFC] Emphysema
909731000006101,[RFC] Reason for care : Pulmonary fibrosis
919601000000107,Single inhaler maintenance and reliever therapy started
9205211000001104,Easyhaler Salbutamol
9516911000001109,AeroChamber Plus
95325000,Subcutaneous nodule
